material,mechanism_class,subcategory,status
Trehalose,Structural_Stabilization,Sugar,active
Sucrose,Structural_Stabilization,Sugar,candidate
Raffinose,Structural_Stabilization,Sugar,candidate
Maltose,Structural_Stabilization,Sugar,candidate
Lactose,Structural_Stabilization,Sugar,candidate
Mannitol,Structural_Stabilization,Polyol,candidate
Sorbitol,Structural_Stabilization,Polyol,candidate
Xylitol,Structural_Stabilization,Polyol,candidate
Glycerol,Structural_Stabilization,Polyol,active
Propylene_Glycol,Structural_Stabilization,Polyol,candidate
Dextran,Structural_Stabilization,Crowding,active
Ficoll,Structural_Stabilization,Crowding,candidate
Pullulan,Structural_Stabilization,Crowding,candidate
PEG,Structural_Stabilization,Crowding,active
PVP,Structural_Stabilization,Crowding,active
Ectoine,Structural_Stabilization,Osmolyte,candidate
Hydroxyectoine,Structural_Stabilization,Osmolyte,candidate
Betaine,Structural_Stabilization,Osmolyte,candidate
Proline,Structural_Stabilization,Osmolyte,candidate
Arginine,Structural_Stabilization,Osmolyte,candidate
Histidine,Structural_Stabilization,Osmolyte,candidate
Taurine,Structural_Stabilization,Osmolyte,candidate
Cholesterol,Interface_Stabilization,Membrane,active
Poloxamer188,Interface_Stabilization,Membrane,candidate
Poloxamer407,Interface_Stabilization,Membrane,candidate
Tween20,Interface_Stabilization,Surfactant,candidate
Tween80,Interface_Stabilization,Surfactant,candidate
BSA,Interface_Stabilization,ProteinShield,candidate
HSA,Interface_Stabilization,ProteinShield,candidate
Trolox,Chemical_Stabilization,Antioxidant,active
Glutathione,Chemical_Stabilization,Antioxidant,active
NAC,Chemical_Stabilization,Antioxidant,candidate
Ascorbate,Chemical_Stabilization,Antioxidant,candidate
Ergothioneine,Chemical_Stabilization,Antioxidant,candidate
Methionine,Chemical_Stabilization,Antioxidant,candidate
Catalase,Chemical_Stabilization,Enzyme,active
Superoxide_Dismutase,Chemical_Stabilization,Enzyme,candidate
EDTA,Chemical_Stabilization,Chelator,active
EGTA,Chemical_Stabilization,Chelator,active
DTPA,Chemical_Stabilization,Chelator,active
Citrate,Chemical_Stabilization,Chelator,candidate
Deferoxamine,Chemical_Stabilization,Chelator,candidate
HEPES,Chemical_Stabilization,Buffer,candidate
MOPS,Chemical_Stabilization,Buffer,candidate
PIPES,Chemical_Stabilization,Buffer,candidate
Tris,Chemical_Stabilization,Buffer,candidate
BisTris,Chemical_Stabilization,Buffer,candidate
RNase_Inhibitor,Chemical_Stabilization,Inhibitor,candidate
Protease_Inhibitor_Cocktail,Chemical_Stabilization,Inhibitor,candidate
Aprotinin,Chemical_Stabilization,Inhibitor,candidate
Leupeptin,Chemical_Stabilization,Inhibitor,candidate
Silica,Physical_Encapsulation,Mineral,active
Calcium_Phosphate,Physical_Encapsulation,Mineral,active
Magnesium_Phosphate,Physical_Encapsulation,Mineral,candidate
Alginate,Physical_Encapsulation,Hydrogel,candidate
Agarose,Physical_Encapsulation,Hydrogel,candidate
Gelatin,Physical_Encapsulation,Hydrogel,candidate
PEGDA,Physical_Encapsulation,Hydrogel,candidate
Chitosan,Physical_Encapsulation,Network,candidate
Hyaluronic_Acid,Physical_Encapsulation,Network,candidate
Collagen,Physical_Encapsulation,Network,candidate
Fibrin,Physical_Encapsulation,Network,candidate
