material,category,entropy_module,priority
Trehalose,sugar,structural,HIGH
Sucrose,sugar,structural,HIGH
Maltodextrin,sugar,structural,HIGH
Lactose,sugar,structural,MEDIUM
Mannitol,polyol,structural,HIGH
Sorbitol,polyol,structural,HIGH
Xylitol,polyol,structural,MEDIUM
Glycerol,polyol,structural,HIGH
Ectoine,osmolyte,structural,HIGH
Hydroxyectoine,osmolyte,structural,HIGH
Betaine,osmolyte,structural,HIGH
Proline,amino_acid,structural,HIGH
Arginine,amino_acid,structural,HIGH
Histidine,amino_acid,structural,HIGH
Methionine,amino_acid,structural,HIGH
Taurine,osmolyte,structural,HIGH
Carnitine,osmolyte,structural,MEDIUM
Dextran,polymer,interface,HIGH
Pullulan,polymer,interface,HIGH
PVP,polymer,interface,HIGH
PEG,polymer,interface,HIGH
Poloxamer188,surfactant,interface,HIGH
Alginate,hydrogel,constraint,HIGH
Chitosan,hydrogel,constraint,HIGH
Gelatin,protein_polymer,interface,HIGH
Collagen,protein_polymer,interface,HIGH
Hyaluronic_Acid,biopolymer,interface,HIGH
Cellulose,biopolymer,constraint,MEDIUM
Silica,mineral,constraint,HIGH
Calcium_Phosphate,mineral,constraint,HIGH
Phosphate,buffer,constraint,MEDIUM
HEPES,buffer,structural,MEDIUM
Tris,buffer,structural,MEDIUM
EDTA,chelator,structural,MEDIUM
EGTA,chelator,structural,MEDIUM
DTPA,chelator,structural,MEDIUM
Glutathione,antioxidant,structural,HIGH
Trolox,antioxidant,structural,HIGH
Ascorbate,antioxidant,structural,HIGH
