material,entropy_control_label,family,subfamily,membrane_score,protein_score,nucleic_acid_score,assay_risk,evidence_count,confidence,evidence_status,notes
Trehalose,Structural_Stabilization,Sugar,Disaccharide,3,3,2,0,0,Unknown,Unreviewed,glass formation and water replacement; broad state stabilization
Sucrose,Structural_Stabilization,Sugar,Disaccharide,3,3,2,0,0,Unknown,Unreviewed,nonreducing disaccharide glass former and lyophilization stabilizer
Raffinose,Structural_Stabilization,Sugar,Oligosaccharide,2,3,2,0,0,Unknown,Unreviewed,oligosaccharide glass former; improves dry-state matrix stability
Mannitol,Structural_Stabilization,Polyol,Sugar_Alcohol,2,2,1,0,0,Unknown,Unreviewed,polyol bulking and osmotic stabilizer; crystallization risk should be monitored
Glycerol,Structural_Stabilization,Polyol,Glycerol_Type,2,2,2,0,0,Unknown,Unreviewed,hydration maintenance and cryoprotection
Sorbitol,Structural_Stabilization,Polyol,Sugar_Alcohol,2,2,1,0,0,Unknown,Unreviewed,polyol osmotic and hydration stabilizer
Ethylene_Glycol,Structural_Stabilization,Polyol,Glycol,2,1,1,2,0,Unknown,Unreviewed,classic cryoprotective polyol; toxicity/assay risk
Propylene_Glycol,Structural_Stabilization,Polyol,Glycol,1,1,1,2,0,Unknown,Unreviewed,small polyol cosolvent/cryoprotectant; assay risk
Ectoine,Structural_Stabilization,Compatible_Solute,Ectoine_Family,3,3,2,0,0,Unknown,Unreviewed,compatible solute; preferential exclusion and hydration shell stabilization
Hydroxyectoine,Structural_Stabilization,Compatible_Solute,Ectoine_Family,3,3,2,0,0,Unknown,Unreviewed,ectoine-family compatible solute with strong hydration protection
Betaine,Structural_Stabilization,Compatible_Solute,Methylamine_Osmolyte,2,2,2,0,0,Unknown,Unreviewed,zwitterionic osmolyte; broad compatible-solute stabilization
TMAO,Structural_Stabilization,Compatible_Solute,Methylamine_Osmolyte,1,3,1,0,0,Unknown,Unreviewed,protein-folding osmolyte; weaker direct membrane/NA rationale
Carnitine,Structural_Stabilization,Compatible_Solute,Quaternary_Amine,1,2,1,0,0,Unknown,Unreviewed,zwitterionic osmolyte candidate
Arginine,Structural_Stabilization,Amino_Acid,Basic_AA,1,3,1,0,0,Unknown,Unreviewed,protein anti-aggregation and solubility enhancer
Proline,Structural_Stabilization,Amino_Acid,Osmoprotective_AA,2,3,1,0,0,Unknown,Unreviewed,osmoprotective amino acid and protein stabilizer
Histidine,Structural_Stabilization,Amino_Acid,Basic_AA,1,2,1,0,0,Unknown,Unreviewed,biopharma amino acid stabilizer and mild buffering role
Leucine,Structural_Stabilization,Amino_Acid,Hydrophobic_AA,1,2,1,0,0,Unknown,Unreviewed,spray-drying and particle morphology stabilizer
Methionine,Chemical_Protection,Amino_Acid,Sulfur_AA,1,3,1,0,0,Unknown,Unreviewed,sacrificial oxidation sink for proteins and formulation systems
PEG_mid_MW,Structural_Stabilization,Polymer,PEG,2,2,1,1,0,Unknown,Unreviewed,polymer crowding and interface stabilization; cleanup/PCR interference risk
PVP_mid_MW,Structural_Stabilization,Polymer,PVP,2,2,1,1,0,Unknown,Unreviewed,polymer anti-aggregation and matrix stabilizer; cleanup risk
Dextran_mid_MW,Structural_Stabilization,Polymer,Polysaccharide_Polymer,2,2,1,1,0,Unknown,Unreviewed,neutral polysaccharide crowding/matrix stabilizer
Pullulan,Structural_Stabilization,Polymer,Polysaccharide_Polymer,2,3,2,1,0,Unknown,Unreviewed,film-forming sugar polymer and dry-state matrix stabilizer
Ficoll,Structural_Stabilization,Polymer,Polysaccharide_Polymer,1,2,1,1,0,Unknown,Unreviewed,neutral crowding polymer; viscosity and cleanup risk
Hydroxyethyl_Starch,Structural_Stabilization,Polymer,Starch_Derivative,2,2,1,1,0,Unknown,Unreviewed,extracellular cryoprotective polymer and crowding stabilizer
Polyampholyte,Physical_Encapsulation,Polymer,Polyampholyte,2,2,2,1,0,Unknown,Unreviewed,polyionic confinement and cryoprotective matrix behavior
Carboxylated_Polylysine,Physical_Encapsulation,Polymer,Polyampholyte,2,2,2,1,0,Unknown,Unreviewed,polyampholyte-like polymer; confinement and cryoprotection
Poloxamer188,Structural_Stabilization,Surfactant,Poloxamer,3,2,1,0,0,Unknown,Unreviewed,membrane and air-liquid interface stabilization
Poloxamer407,Structural_Stabilization,Surfactant,Poloxamer,2,1,1,1,0,Unknown,Unreviewed,poloxamer comparator with thermoresponsive/viscosity effects
Tween20,Structural_Stabilization,Surfactant,Tween,2,2,1,1,0,Unknown,Unreviewed,nonionic surfactant for interface protection; assay interference possible
Tween80,Structural_Stabilization,Surfactant,Tween,2,2,1,1,0,Unknown,Unreviewed,nonionic surfactant with oxidation/degradation risk
Cholesterol,Structural_Stabilization,Lipid,Sterol,3,1,0,1,0,Unknown,Unreviewed,membrane packing and rigidity stabilizer; low protein/NA direct benefit
Phosphatidylcholine,Structural_Stabilization,Lipid,Phospholipid,3,1,0,1,0,Unknown,Unreviewed,phospholipid membrane support; low protein/NA direct benefit
Cyclodextrin,Structural_Stabilization,Cyclodextrin,Native_CD,2,2,1,1,0,Unknown,Unreviewed,complexation and membrane/interface stabilization; cargo extraction risk possible
Hydroxypropyl_Beta_Cyclodextrin,Structural_Stabilization,Cyclodextrin,Modified_CD,2,2,1,1,0,Unknown,Unreviewed,biocompatible cyclodextrin derivative; solubilization and interface effects
DMSO,Chemical_Protection,Cryoprotectant,Penetrating_CPA,2,2,2,2,0,Unknown,Unreviewed,cryoprotectant and solvent; high assay and membrane perturbation risk
Glutathione,Chemical_Protection,Antioxidant,Thiol_Antioxidant,2,3,2,0,0,Unknown,Unreviewed,redox buffer and oxidation suppression
Trolox,Chemical_Protection,Antioxidant,VitaminE_Analog,2,3,1,0,0,Unknown,Unreviewed,lipid/protein oxidation suppression
N_Acetylcysteine,Chemical_Protection,Antioxidant,Thiol_Antioxidant,1,2,1,0,0,Unknown,Unreviewed,thiol antioxidant and redox protection
Ascorbate,Chemical_Protection,Antioxidant,VitaminC_Analog,1,2,1,1,0,Unknown,Unreviewed,antioxidant with possible pro-oxidant behavior depending on metal context
Ergothioneine,Chemical_Protection,Antioxidant,Sulfur_Antioxidant,2,2,1,0,0,Unknown,Unreviewed,stable biological antioxidant candidate
EDTA,Chemical_Protection,Chelator,Broad_Chelator,1,2,3,1,0,Unknown,Unreviewed,metal chelation and nuclease inhibition; may affect metal-dependent assays/enzymes
EGTA,Chemical_Protection,Chelator,Calcium_Chelator,1,2,2,1,0,Unknown,Unreviewed,calcium-selective chelation; possible assay/enzyme interference
DTPA,Chemical_Protection,Chelator,Broad_Chelator,1,2,3,1,0,Unknown,Unreviewed,strong metal chelation and nuclease suppression; assay risk
Phytate,Chemical_Protection,Chelator,Polyphosphate_Chelator,1,1,2,1,0,Unknown,Unreviewed,multivalent chelator and antioxidant-adjacent candidate
Silicic_Acid,Physical_Encapsulation,Mineral,Silica,3,3,3,1,0,Unknown,Unreviewed,biomineral confinement; isolates state and limits exposure/diffusion
Calcium_Phosphate,Physical_Encapsulation,Mineral,CaP,3,3,3,1,0,Unknown,Unreviewed,biocompatible mineral encapsulation and confinement
Calcium_Carbonate,Physical_Encapsulation,Mineral,Carbonate,2,2,2,1,0,Unknown,Unreviewed,pH-responsive mineral matrix and confinement candidate
Alginate,Physical_Encapsulation,Hydrogel,Ionic_Hydrogel,2,2,2,1,0,Unknown,Unreviewed,ionic hydrogel confinement; diffusion restriction and matrix protection
Chitosan,Physical_Encapsulation,Hydrogel,Cationic_Hydrogel,2,2,2,1,0,Unknown,Unreviewed,cationic polymeric confinement; nucleic acid interaction possible
Hyaluronic_Acid,Physical_Encapsulation,Hydrogel,ECM_Hydrogel,2,2,2,1,0,Unknown,Unreviewed,hydrated biopolymer matrix and confinement candidate
Agarose,Physical_Encapsulation,Hydrogel,Neutral_Hydrogel,2,2,2,0,0,Unknown,Unreviewed,neutral gel matrix confinement with low chemical interference
SAIB,Physical_Encapsulation,Depot_Matrix,Depot_Forming,1,1,1,1,0,Unknown,Unreviewed,vaccine depot/formulation excipient; confinement candidate but uncertain assay compatibility
