material,category,entropy_module,priority
Trehalose,sugar,structural,high
Sucrose,sugar,structural,high
Raffinose,sugar,structural,high
Maltose,sugar,structural,medium
Lactose,sugar,structural,medium
Stachyose,sugar,structural,medium
Melezitose,sugar,structural,medium
Cellobiose,sugar,structural,medium
Maltodextrin,sugar_polymer,structural,high
Inulin,sugar_polymer,structural,medium
Glycerol,polyol,structural,high
Mannitol,polyol,structural,high
Sorbitol,polyol,structural,high
Xylitol,polyol,structural,medium
Erythritol,polyol,structural,medium
Inositol,polyol,structural,medium
Propylene_Glycol,polyol,structural,medium
Ethylene_Glycol,polyol,structural,medium
DMSO,cryoprotectant,chemical,medium
Ectoine,osmolyte,structural,high
Hydroxyectoine,osmolyte,structural,high
Betaine,osmolyte,structural,high
TMAO,osmolyte,structural,medium
Taurine,osmolyte,structural,medium
Sarcosine,osmolyte,structural,medium
Carnitine,osmolyte,structural,medium
Proline,amino_acid,structural,high
Arginine,amino_acid,structural,high
Histidine,amino_acid,structural,high
Glycine,amino_acid,structural,medium
Alanine,amino_acid,structural,medium
Serine,amino_acid,structural,medium
Lysine,amino_acid,structural,medium
Glutamate,amino_acid,structural,medium
Glutamine,amino_acid,structural,medium
Asparagine,amino_acid,structural,medium
Leucine,amino_acid,structural,high
Methionine,amino_acid,chemical,high
PEG_low_MW,polymer,interface,medium
PEG_mid_MW,polymer,interface,high
PEG_high_MW,polymer,interface,medium
PVP_low_MW,polymer,interface,medium
PVP_mid_MW,polymer,interface,high
PVP_high_MW,polymer,interface,medium
Dextran_low_MW,polysaccharide,interface,medium
Dextran_mid_MW,polysaccharide,interface,high
Dextran_high_MW,polysaccharide,interface,medium
Pullulan,polysaccharide,interface,high
Ficoll,polymer,interface,medium
PVA,polymer,interface,medium
Hydroxyethyl_Starch,polymer,interface,high
Carboxymethyl_Dextran,polysaccharide,interface,medium
Polyglutamate,polymer,interface,medium
Polysarcosine,polymer,interface,medium
Polybetaine,polymer,interface,medium
Polyampholyte,polymer,constraint,high
Carboxylated_Polylysine,polymer,constraint,medium
Poloxamer188,surfactant,interface,high
Poloxamer407,surfactant,interface,medium
Tween20,surfactant,interface,medium
Tween80,surfactant,interface,medium
Brij35,surfactant,interface,low
Lecithin,lipid,interface,medium
Phosphatidylcholine,lipid,interface,medium
Cholesterol,lipid,interface,medium
Sphingomyelin,lipid,interface,low
HPMC,cellulose_polymer,interface,medium
CMC,cellulose_polymer,interface,medium
Methylcellulose,cellulose_polymer,interface,medium
Silicic_Acid,mineral,constraint,high
Calcium_Phosphate,mineral,constraint,high
Calcium_Carbonate,mineral,constraint,medium
Magnesium_Phosphate,mineral,constraint,medium
Alginate,hydrogel,constraint,high
Agarose,hydrogel,constraint,high
Chitosan,hydrogel,constraint,high
Hyaluronic_Acid,hydrogel,constraint,high
Gellan_Gum,hydrogel,constraint,medium
Carrageenan,hydrogel,constraint,medium
Pectin,hydrogel,constraint,medium
Guar_Gum,hydrogel,constraint,medium
Xanthan_Gum,hydrogel,constraint,medium
Silk_Fibroin,protein_polymer,constraint,medium
Cellulose_Nanofiber,biomaterial,constraint,medium
Nanoclay,biomaterial,constraint,medium
Laponite,biomaterial,constraint,medium
Trolox,antioxidant,chemical,high
Glutathione,antioxidant,chemical,high
N_Acetylcysteine,antioxidant,chemical,medium
Ascorbate,antioxidant,chemical,medium
Alpha_Tocopherol,antioxidant,chemical,medium
Uric_Acid,antioxidant,chemical,medium
Ergothioneine,antioxidant,chemical,medium
EDTA,chelator,chemical,high
EGTA,chelator,chemical,high
DTPA,chelator,chemical,medium
Citrate,chelator_buffer,chemical,medium
Phytate,chelator,chemical,medium
SAIB,vaccine_excipient,interface,medium
Cyclodextrin,cyclic_oligosaccharide,interface,medium
Hydroxypropyl_Beta_Cyclodextrin,cyclic_oligosaccharide,interface,medium
Sucrose_Acetate_Isobutyrate,vaccine_excipient,interface,medium
