material,module,mechanism,evidence_level,reference_type,reference,status
Trehalose,Structural,glass_formation_and_water_replacement,high,literature,PMID_pending,curated
Sucrose,Structural,glass_formation_and_protein_stabilization,high,literature,PMID_pending,curated
Mannitol,Structural,osmotic_and_bulking_protection,high,literature,PMID_pending,curated
Ectoine,Structural,osmolyte_and_preferential_exclusion,high,literature,PMID_pending,curated
Hydroxyectoine,Structural,osmolyte_and_stress_protection,high,literature,PMID_pending,curated
Betaine,Structural,osmolyte_and_protein_stabilization,high,literature,PMID_pending,curated
Arginine,Structural,anti_aggregation,high,literature,PMID_pending,curated
Proline,Structural,osmoprotection,high,literature,PMID_pending,curated
Histidine,Structural,buffering_and_antioxidant_support,medium,literature,PMID_pending,curated
Glutathione,Structural,redox_protection,high,literature,PMID_pending,curated
Trolox,Structural,antioxidant_protection,high,literature,PMID_pending,curated
PEG,Interface,anti_adsorption_and_crowding,high,literature,PMID_pending,curated
PVP,Interface,surface_stabilization,high,literature,PMID_pending,curated
Dextran,Interface,crowding_and_colloid_stability,high,literature,PMID_pending,curated
Pullulan,Interface,film_and_glass_support,medium,literature,PMID_pending,curated
Poloxamer_188,Interface,membrane_and_interface_protection,high,literature,PMID_pending,curated
Hyaluronic_Acid,Interface,hydration_and_surface_stability,medium,literature,PMID_pending,curated
Silica,Constraint,mineral_encapsulation,high,literature,PMID_pending,curated
Calcium_Phosphate,Constraint,biomineralization_constraint,high,literature,PMID_pending,curated
Alginate,Constraint,diffusion_constraint_matrix,high,literature,PMID_pending,curated
Chitosan,Constraint,polyelectrolyte_constraint_matrix,high,literature,PMID_pending,curated
Agarose,Constraint,hydrogel_confinement,medium,literature,PMID_pending,curated
Hydroxyapatite,Constraint,mineral_microenvironment_control,medium,literature,PMID_pending,curated
